Year,United States,Australia,Canada,France,Germany,Italy,Japan,"Korea, Republic of",Mexico,Netherlands,New Zealand,South Africa,Spain,Sweden,Turkey,United Kingdom,group
1972,24.3,23.5,21.8,28.8,36.9,27.9,27.3,13.6,NA,NA,NA,NA,NA,27.2,NA,32.7,percent of employment in manufacturing
1973,24.8,23.3,22,28.9,36.7,27.9,27.8,15.8,NA,25.3,NA,NA,NA,27.6,NA,32.1,percent of employment in manufacturing
1974,24.2,22.9,21.7,28.8,36.5,28.1,27.6,17.3,NA,25.1,NA,NA,NA,28.4,NA,32.2,percent of employment in manufacturing
1975,22.7,21.3,20.2,28.5,35.7,28,26.1,18.6,NA,24.5,NA,NA,NA,28.1,NA,30.8,percent of employment in manufacturing
1976,22.8,21.2,19.2,28,35.2,27.7,25.8,21.3,NA,23.6,NA,NA,NA,27,NA,30,percent of employment in manufacturing
1977,22.7,20.9,18.8,27.7,35.1,27.6,25.3,21.6,NA,23.2,NA,NA,26.3,26,NA,30.2,percent of employment in manufacturing
1978,22.7,19.9,18.9,27.2,34.8,27.3,24.8,22.3,NA,22.7,NA,NA,26.2,25,NA,29.9,percent of employment in manufacturing
1979,22.7,19.6,19.2,26.7,34.5,26.9,24.6,22.8,NA,22,NA,NA,26.1,24.7,NA,29.3,percent of employment in manufacturing
1980,22.1,19.4,19.1,26.3,34,26.9,25,21.6,NA,21.3,NA,NA,25.9,24.3,NA,28.1,percent of employment in manufacturing
1981,21.7,19.2,18.5,25.8,33.4,26.3,25.1,20.4,NA,20.8,NA,NA,25.4,23.4,NA,26.3,percent of employment in manufacturing
1982,20.4,18.6,17.2,24.4,32.8,25.8,24.7,21.1,NA,20.1,NA,NA,24.1,22.5,NA,25.3,percent of employment in manufacturing
1983,18.4,17.8,16.8,24.1,32.2,25,24.8,22.5,NA,19.6,NA,NA,23.7,22.4,NA,24.1,percent of employment in manufacturing
1984,18.5,17.3,17.1,23.7,32.1,23.9,25.2,23.2,NA,19.6,NA,NA,23.9,22.5,NA,24.7,percent of employment in manufacturing
1985,18.1,16.1,17,23,32.3,23.2,25.3,23.4,NA,19.5,NA,NA,23.1,22.6,NA,24.6,percent of employment in manufacturing
1986,17.8,15.6,17.1,22.3,32.3,22.9,24.9,24.7,NA,19.4,21,NA,22.9,22.8,NA,24.4,percent of employment in manufacturing
1987,17.3,15.4,16.7,21.8,32,22.5,24.4,27,NA,19.4,19.8,NA,23,22,NA,23,percent of employment in manufacturing
1988,17.3,15.3,16.6,21.4,31.6,22.6,24.5,27.7,NA,18.8,18.5,NA,22.7,21.7,NA,23.3,percent of employment in manufacturing
1989,17.2,15.1,16.5,21.2,31.6,22.8,24.5,27.8,NA,19.1,17.9,NA,22.5,21.7,NA,22.5,percent of employment in manufacturing
1990,16.8,14.4,15.8,21.3,31.6,22.6,24.3,27.2,NA,19.1,17.3,NA,22.5,21,NA,22.1,percent of employment in manufacturing
1991,16.3,13.8,14.8,21.1,30.7,22.1,24.6,27.6,NA,18.3,17.4,NA,21.8,19.9,NA,22.6,percent of employment in manufacturing
1992,15.9,13.7,14.3,20.4,29.5,22,24.6,26.2,NA,18.1,16.6,NA,21.7,18.9,NA,21.1,percent of employment in manufacturing
1993,15.4,13.5,14,19.7,28.1,24,23.9,24.5,NA,17.7,17.3,NA,20.5,18.3,NA,20.9,percent of employment in manufacturing
1994,15.4,13.5,14,19.3,26.6,24.3,23.4,24,NA,16.7,18.3,NA,20,18.2,NA,18.9,percent of employment in manufacturing
1995,15.5,13,14.4,19,25.2,24.1,22.7,23.6,NA,16.4,18,NA,19.4,19,NA,18.8,percent of employment in manufacturing
1996,15.3,12.8,14.4,18.7,24.3,23.7,22.5,22.7,NA,15.9,17.1,NA,18.9,19.3,NA,19.1,percent of employment in manufacturing
1997,15.2,12.9,14.8,18.6,24,23.5,22.2,21.4,NA,15.7,16.4,NA,19.1,19.2,NA,16.6,percent of employment in manufacturing
1998,15,12.3,15,18.4,24.1,23.7,21.4,19.6,NA,15.2,16.8,NA,19.6,19.1,NA,16.3,percent of employment in manufacturing
1999,14.3,11.8,15.3,18.2,23.8,23.4,21,19.8,NA,15.1,16,NA,19.2,18.5,NA,15.6,percent of employment in manufacturing
2000,14.4,12.1,15.3,17.9,23.9,22.9,20.7,20.3,NA,14.8,15.8,NA,18.9,18,NA,14.8,percent of employment in manufacturing
2001,13.5,11.6,15,17.8,23.7,22.4,20.2,19.8,NA,14.5,15.9,NA,18.8,17.5,NA,14.2,percent of employment in manufacturing
2002,12.6,11.5,15,17.4,23.6,22.3,19.1,19.1,NA,13.9,15.5,NA,18.4,16.8,NA,13.7,percent of employment in manufacturing
2003,12.3,11,14.6,17,23.3,22.1,18.8,19,NA,13.5,14.2,NA,17.7,16.2,NA,12.6,percent of employment in manufacturing
2004,11.8,10.9,14.5,16.7,23.1,21.9,18.3,18.5,NA,13.8,14.2,NA,17.1,16,NA,11.8,percent of employment in manufacturing
2005,11.5,10.4,13.8,16.4,22.2,21.6,18.1,18.1,16.9,13.8,13.4,NA,16.5,15,NA,11.5,percent of employment in manufacturing
2006,11.3,10,12.9,16.1,22,21.2,18.3,17.5,16.9,13.4,12.8,NA,15.8,14.7,20.1,11.2,percent of employment in manufacturing
2007,11.2,9.9,12.1,15.7,22.2,21.2,18.3,17.1,16.6,12.6,12.5,NA,15.3,14.3,19.9,11.1,percent of employment in manufacturing
2008,10.9,9.8,11.5,14.6,22.2,20.1,18.1,16.8,16.1,11.4,12.4,14.4,14.7,13.9,20.2,10.4,percent of employment in manufacturing
2009,10.2,9.3,10.6,13.9,20.5,19.5,17.3,16.3,15.2,10.8,11.5,13.4,13.4,12.5,18.5,9.7,percent of employment in manufacturing
2010,10.1,8.9,10.3,13.3,20.1,18.9,16.9,16.9,15.5,10.6,11.4,13.3,12.9,12.1,19,9.8,percent of employment in manufacturing
2011,10.2,8.5,10.2,13.4,20,19,16.8,16.9,15.4,10.3,11.3,13.3,12.8,12.1,18.5,9.8,percent of employment in manufacturing
2012,10.3,8.4,10.2,13,19.8,18.6,16.6,16.6,15.4,10.2,11.1,12.7,12.7,11.7,18.2,9.8,percent of employment in manufacturing
1970,62.5,57.3,62.6,NA,42.8,41.1,47.4,32.4,NA,NA,NA,NA,NA,53.9,NA,NA,percent of employment in services
1971,64,57.9,63.1,44.7,44.4,40.9,48.5,34.1,NA,NA,NA,NA,NA,55.1,NA,55.1,percent of employment in services
1972,64.3,58.6,63.9,45.4,45.4,42.2,49.4,31.7,NA,NA,NA,NA,NA,56.2,NA,56.1,percent of employment in services
1973,63.9,59.3,63.9,46.3,46,43.4,49.9,30.6,NA,58.9,NA,NA,NA,56.6,NA,56.4,percent of employment in services
1974,64.6,60.1,64.2,47.3,47.2,44.2,50.6,30.3,NA,59.7,NA,NA,NA,56.9,NA,56.9,percent of employment in services
1975,66.6,61.5,65.8,48.2,48.8,45.1,52,30.9,NA,60.8,NA,NA,NA,57.7,NA,58.5,percent of employment in services
1976,66.6,62.4,66.5,49.5,49.6,46.1,52.5,29.5,NA,61.9,NA,NA,NA,59,NA,59.4,percent of employment in services
1977,66.7,62.9,67.2,50.4,50.3,46.6,53.3,31.1,NA,62.3,NA,NA,42.3,60.2,NA,59.5,percent of employment in services
1978,66.5,64.3,67.5,51.5,50.8,47.2,53.8,32.4,NA,62.6,NA,NA,43,61.5,NA,59.8,percent of employment in services
1979,66.5,64.5,67.4,52.4,51.4,48.2,54.5,34.5,NA,63.6,NA,NA,44.2,62.3,NA,60.2,percent of employment in services
1980,67.3,64.9,67.8,53.2,51.9,48.8,54.8,37.3,NA,65.1,NA,NA,45.4,62.9,NA,61.4,percent of employment in services
1981,67.8,65.2,68.3,54.1,52.8,50.2,55.3,38.2,NA,66.4,NA,NA,46.9,63.8,NA,63.2,percent of employment in services
1982,69.4,66.1,70.1,56.9,53.7,51.6,56,40.3,NA,67.3,NA,NA,48.4,64.9,NA,64.4,percent of employment in services
1983,71,67.4,70.8,57.8,54.5,52.6,56.6,41.4,NA,67.5,NA,NA,48.8,65.5,NA,65.5,percent of employment in services
1984,70.8,68.2,70.9,58.9,55.1,54.8,56.9,42.4,NA,67.5,NA,NA,49.7,65.9,NA,64.3,percent of employment in services
1985,71.3,69.1,71,60.2,55.4,56.4,57,44.5,NA,68.3,NA,NA,50.9,66.1,NA,65,percent of employment in services
1986,71.6,69.8,71.1,61.4,55.8,57.3,57.6,44.8,NA,68.9,61.3,NA,52.8,66.1,NA,65.7,percent of employment in services
1987,72.2,70.3,71.3,62.2,56.4,58.1,58.5,44.3,NA,68.8,63.1,NA,53.4,66.8,NA,66.6,percent of employment in services
1988,72.4,70.3,71.4,62.8,57,58.8,58.5,44.8,NA,69.5,64.3,NA,53.9,67.3,NA,66.5,percent of employment in services
1989,72.6,70.3,71.5,63.3,57.4,59.3,58.7,45.6,NA,69.4,64.8,NA,54.9,67.3,NA,66.7,percent of employment in services
1990,73.1,71.2,72.3,63.6,57.6,59.6,59.2,47.1,NA,69.5,65.4,NA,55.6,67.9,NA,67.3,percent of employment in services
1991,73.9,72.5,73.6,64.2,56.1,60.2,59.4,48.9,NA,70.4,66.4,NA,57.1,69,NA,66.8,percent of employment in services
1992,74.5,73,74.4,65.4,57.3,60.6,59.5,50.6,NA,71.6,66.8,NA,58.2,70.6,NA,69.3,percent of employment in services
1993,75.1,72.8,75,66.8,58.7,61.1,60.3,52.8,NA,72,66.5,NA,60,71.6,NA,70,percent of employment in services
1994,74.9,73.1,74.9,67.7,60,61.3,60.8,54.2,NA,73,65.1,NA,61,72.1,NA,71.5,percent of employment in services
1995,74.8,73.7,74.8,68.4,61.5,62,61.4,55.1,NA,73.4,65.9,NA,61.7,71.5,NA,71.8,percent of employment in services
1996,75,73.9,75,69.1,62.6,62.8,61.8,56.6,NA,73.7,66.5,NA,62.5,71.6,NA,71.8,percent of employment in services
1997,75,74.1,74.7,69.4,63.2,63.2,62.1,58.2,NA,73.9,68.4,NA,62.4,71.9,NA,74.1,percent of employment in services
1998,75.2,74.5,74.7,69.8,63.6,63.4,63.3,60.3,NA,75,68,NA,62.2,72.2,NA,74.5,percent of employment in services
1999,75.8,74.9,74.8,70.2,64,64,63.8,61.4,NA,75.2,68.3,NA,62.5,72.7,NA,75.4,percent of employment in services
2000,76.2,74.4,74.9,70.8,64.5,64.7,64.3,61.6,NA,75.5,68.8,NA,62.8,73.5,NA,76.1,percent of employment in services
2001,77.1,75.4,75.5,70.9,65.1,65,65.2,62.8,NA,75.8,68.9,NA,62.6,74.3,NA,76.7,percent of employment in services
2002,78,75.6,75.4,71.4,65.8,65.3,66.5,63.6,NA,76.6,69.3,NA,63.3,75,NA,77.3,percent of employment in services
2003,78.3,76.2,75.7,71.9,66.4,65.3,67.1,63.9,NA,77.4,70.3,NA,64,75.5,NA,78.1,percent of employment in services
2004,78.4,76,75.7,72.6,66.9,65.2,68,65.3,NA,76.9,70.5,NA,64.5,75.6,NA,78.7,percent of employment in services
2005,78.6,76.3,75.8,73.1,68.5,65.4,68.7,66,59.8,76.6,71.4,NA,65.5,76.6,NA,78.8,percent of employment in services
2006,78.5,76.3,76.4,73.1,68.7,65.9,68.8,66.8,60.5,77,71.1,NA,66.1,76.7,50.3,78.9,percent of employment in services
2007,78.8,76.5,77.1,73.7,68.5,66.1,68.9,67.6,61.1,78.2,71.5,NA,66.6,76.9,51,78.8,percent of employment in services
2008,79.5,76.2,77.3,75,68.7,67.4,69.4,68.3,61.9,79.4,72.2,69.2,68.9,77.1,50.7,79.5,percent of employment in services
2009,80.9,76.7,78.7,75.6,70.8,68,70.4,69.3,63.2,80.1,73.2,71.3,72.1,78.6,51.4,80.7,percent of employment in services
2010,81.2,77,78.9,76.1,71.3,68.5,71.1,69.1,62.4,80.2,73.3,71.3,73.6,78.9,50.2,80.9,percent of employment in services
2011,81.1,77.6,78.8,76.1,71.5,69,71.3,69.5,62.8,80.9,73.7,71.8,75,79,49.8,81.1,percent of employment in services
2012,81.2,77.7,78.6,76.6,71.6,69.8,71.7,69.9,63,81,74.1,72.3,76.1,79.2,51.3,81.3,percent of employment in services
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,57.4,61.1,54.5,54.8,56.6,47.4,63.8,55.1,NA,NA,NA,NA,NA,63.1,NA,NA,employment-population ratios
1971,56.6,61,54.5,54.6,56.2,47.1,63.4,54.9,NA,NA,NA,NA,NA,62.6,NA,60.2,employment-population ratios
1972,57,60.6,54.9,54.3,55.8,45.9,62.9,55.2,NA,NA,NA,NA,NA,62.4,NA,60.1,employment-population ratios
1973,57.8,61.2,56.4,54.6,55.9,45.8,63.2,56.1,NA,51.8,NA,NA,NA,62.5,NA,60.8,employment-population ratios
1974,57.8,61.3,57.3,54.5,54.8,46.2,62.2,56.6,NA,51.6,NA,NA,NA,63.6,NA,60.7,employment-population ratios
1975,56.1,60.1,56.9,53.7,53.2,46,61.2,55.9,NA,51.7,NA,NA,NA,64.8,NA,60.2,employment-population ratios
1976,56.8,59.7,58.2,53.7,52.8,46.1,61.1,57.4,NA,51.2,NA,NA,NA,64.9,NA,59.6,employment-population ratios
1977,57.9,59.2,57.9,53.7,52.5,46.2,61.3,57.2,NA,51.6,NA,NA,49.2,64.8,NA,59.2,employment-population ratios
1978,59.3,58,58.5,53.5,52.6,45.9,61.3,58,NA,51.3,NA,NA,47.8,64.6,NA,59.1,employment-population ratios
1979,59.9,57.8,59.8,53.2,52.9,45.9,61.4,57.2,NA,51.4,NA,NA,46.6,65.3,NA,59.3,employment-population ratios
1980,59.2,58.3,60.3,52.8,53.1,46,61.3,55.9,NA,52.1,NA,NA,44.7,65.6,NA,58.5,employment-population ratios
1981,59,58.4,60.8,52.1,52.5,45.9,61.2,55.9,NA,51.7,NA,NA,42.9,65.1,NA,56.6,employment-population ratios
1982,57.8,57.3,58,53.7,51.6,45.1,61.2,56.1,NA,50.8,NA,NA,41.9,64.7,NA,55.2,employment-population ratios
1983,57.9,55.3,57.6,53.2,50.6,44.7,61.4,55.3,NA,49.3,NA,NA,41.2,64.4,NA,54.5,employment-population ratios
1984,59.5,56,58.3,52.3,50.6,44.5,61,53.7,NA,49.3,NA,NA,39.6,64.5,NA,55.3,employment-population ratios
1985,60.1,56.6,59.4,51.9,50.8,44.4,60.6,54.3,NA,50.1,NA,NA,38.6,65,NA,55.7,employment-population ratios
1986,60.7,57.8,60.3,51.9,51.3,44.2,60.4,54.9,NA,50.3,63.9,NA,38.8,65.2,NA,55.8,employment-population ratios
1987,61.5,57.8,61.2,51.5,51.5,43.8,60.1,56.5,NA,49.8,63.6,NA,40.1,65,NA,56.6,employment-population ratios
1988,62.3,58.8,62.2,51.2,51.6,43.7,60.4,57,NA,50.7,61.1,NA,41.1,65.7,NA,58.3,employment-population ratios
1989,63,60.2,62.7,51.5,52,43.6,60.8,58,NA,51.4,59,NA,42,66.2,NA,59.6,employment-population ratios
1990,62.8,60.2,62.2,51.3,52.3,43.9,61.3,58.6,NA,52.7,58.8,NA,42.6,66.1,NA,59.8,employment-population ratios
1991,61.7,58,60.2,50.8,55.5,44.5,61.8,59.1,NA,53.6,57,NA,42.6,64.9,NA,58.1,employment-population ratios
1992,61.5,57,58.9,50.4,54.2,44,62,59.4,NA,54.3,56.6,NA,41.4,62,NA,56.6,employment-population ratios
1993,61.7,56.6,58.5,49.7,53.2,44.5,61.7,59.1,NA,53.9,57.1,NA,39.3,58.5,NA,56.1,employment-population ratios
1994,62.5,57.7,59,49.3,52.6,43.6,61.3,60.1,NA,54,58.8,NA,38.7,57.5,NA,56.4,employment-population ratios
1995,62.9,59.1,59.3,49.6,52.4,43.1,60.9,60.6,NA,55.3,60.6,NA,39.3,58.2,NA,57,employment-population ratios
1996,63.2,59.1,59.1,49.6,52,43.2,60.9,60.8,NA,56.2,61.5,NA,39.9,57.6,NA,57.3,employment-population ratios
1997,63.8,58.9,59.7,49.2,51.6,43.2,61,60.9,NA,57.7,61,NA,40.9,56.9,NA,58.1,employment-population ratios
1998,64.1,59.3,60.4,49.3,52.3,43.5,60.2,56.4,NA,59,60,NA,42.2,57.6,NA,58.5,employment-population ratios
1999,64.3,59.6,61.3,49.7,52.1,43.9,59.4,56.7,NA,60.2,60.6,NA,44.2,58.3,NA,59,employment-population ratios
2000,64.4,60.3,62,50.6,52.2,44.5,59,58.5,NA,61.4,61.3,NA,46,60.1,NA,59.4,employment-population ratios
2001,63.7,60,61.8,50.9,52.2,45.1,58.4,59,NA,62.5,62.2,NA,47.2,60.5,NA,59.5,employment-population ratios
2002,62.7,60.2,62.4,51,51.5,45.6,57.5,60,NA,62.8,63,NA,47.8,60.6,NA,59.6,employment-population ratios
2003,62.3,60.8,63.1,50.7,50.8,45.3,57.1,59.3,NA,62.2,63.2,NA,48.9,60.2,NA,59.8,employment-population ratios
2004,62.3,61.1,63.3,50.4,50.6,45.1,57.1,59.8,NA,61.8,64.3,NA,50,59.5,NA,59.9,employment-population ratios
2005,62.7,62.1,63.3,50.3,51.1,44.9,57.3,59.7,55,61.5,65.2,NA,51.8,59.8,NA,60,employment-population ratios
2006,63.1,62.7,63.5,50.3,52.1,45.5,57.5,59.7,55.9,62.4,65.6,NA,53.1,60.4,40.9,60,employment-population ratios
2007,63,63.3,64,50.9,53.2,45.6,57.7,59.8,55.8,63.6,66,NA,53.8,61.3,40.8,60,employment-population ratios
2008,62.2,63.9,64.1,51.3,54,45.6,57.4,59.5,55.5,64.2,65.6,44.8,52.8,61.4,41,59.9,employment-population ratios
2009,59.3,63,62.2,50.6,54,44.6,56.5,58.6,54.7,63.8,64.1,42.7,48.9,59.4,40.3,58.5,employment-population ratios
2010,58.5,63,62.3,50.5,54.4,44,56.3,58.7,54.5,61.7,63.6,40.8,47.7,59.2,42.1,58.2,employment-population ratios
2011,58.4,63.1,62.5,50.4,55.7,44,56.2,59.1,54.8,61.3,63.9,40.8,46.8,60.1,43.9,58,employment-population ratios
2012,58.6,62.7,62.5,50.3,55.9,43.7,56.1,59.4,55.4,61.4,63.5,41,44.8,60.1,44.2,58.3,employment-population ratios
1970,76.2,83.2,73.4,74.4,78.4,71.9,80.5,73.8,NA,NA,NA,NA,NA,77.4,NA,NA,Employment-population ratios for men
1971,74.9,82.7,72.7,73.5,77.1,71.6,80.9,73.3,NA,NA,NA,NA,NA,76.1,NA,80.1,Employment-population ratios for men
1972,75,82,73,72.6,75.9,69.9,80.6,73.2,NA,NA,NA,NA,NA,75.4,NA,79.6,Employment-population ratios for men
1973,75.5,81.8,74.3,72.5,75.3,69.3,80.8,73,NA,77.3,NA,NA,NA,75.1,NA,79.9,Employment-population ratios for men
1974,74.9,81.1,74.9,72.2,73.5,69.4,80.5,73.9,NA,77.1,NA,NA,NA,75.6,NA,79,Employment-population ratios for men
1975,71.7,79.1,73.5,70.6,70.9,68.8,79.5,73.5,NA,76.9,NA,NA,NA,76,NA,77.9,Employment-population ratios for men
1976,72,78.3,74.2,70.2,70.3,68.5,79.2,73.6,NA,75.9,NA,NA,NA,75.5,NA,76.7,Employment-population ratios for men
1977,72.8,77.3,73.3,69.7,69.9,67.5,78.7,75.1,NA,75.7,NA,NA,74.8,74.5,NA,75.9,Employment-population ratios for men
1978,73.8,75.5,73.4,69,69.7,66.8,78.2,75,NA,75,NA,NA,72.7,73.5,NA,75.3,Employment-population ratios for men
1979,73.8,75.3,74.3,68.2,69.8,66.3,78.2,73.3,NA,74.3,NA,NA,70.6,73.7,NA,75,Employment-population ratios for men
1980,72,75.1,74,67.5,69.6,66,77.9,71.7,NA,74.1,NA,NA,67.7,73.6,NA,73.3,Employment-population ratios for men
1981,71.3,75.1,73.9,66.1,68.5,65.6,77.8,71.5,NA,72.2,NA,NA,65.2,72,NA,70.1,Employment-population ratios for men
1982,69,73.4,69.3,67.2,67,64.4,77.4,70.9,NA,69.5,NA,NA,63.5,71.3,NA,68,Employment-population ratios for men
1983,68.8,70.1,68.3,66.1,65.8,63.5,77.1,69.8,NA,67.4,NA,NA,61.9,70.4,NA,66.7,Employment-population ratios for men
1984,70.7,70.5,68.9,64.4,65.7,62.9,76.4,68.7,NA,66.6,NA,NA,59.1,70.2,NA,67.3,Employment-population ratios for men
1985,70.9,70.6,69.6,63.8,65.8,62.5,75.9,68.7,NA,67.6,NA,NA,57.5,70.5,NA,67.2,Employment-population ratios for men
1986,71,70.8,70.4,63.3,66.3,61.8,75.4,68.6,NA,66.7,76.5,NA,57.7,70.6,NA,66.6,Employment-population ratios for men
1987,71.5,70.3,71,62.7,66.2,60.9,74.9,69.7,NA,64.8,75.3,NA,58.8,69.7,NA,67.2,Employment-population ratios for men
1988,72,70.9,71.6,62.2,65.9,60.4,75,70.7,NA,65,71.7,NA,59.6,70.3,NA,69,Employment-population ratios for men
1989,72.5,72,71.8,62.3,65.9,59.9,75.1,71.2,NA,65.7,69.3,NA,60.6,70.9,NA,70.3,Employment-population ratios for men
1990,72,71.3,70.6,61.5,65.6,60,75.4,71.8,NA,66.5,68.1,NA,61,70.6,NA,70,Employment-population ratios for men
1991,70.4,68.1,67.6,60.5,67.9,60.6,75.8,73,NA,66.8,65.6,NA,60.4,69.2,NA,67.3,Employment-population ratios for men
1992,69.8,66.5,65.7,59.8,66.3,59.8,76.1,73.6,NA,67.2,64.9,NA,57.9,65.7,NA,64.8,Employment-population ratios for men
1993,70,65.9,65.3,58.1,64.7,59.6,75.9,73.2,NA,65.5,65.6,NA,54.3,61.6,NA,63.7,Employment-population ratios for men
1994,70.4,67,65.9,57.4,63.8,58.1,75.4,74.2,NA,65.2,67.2,NA,53.2,60.9,NA,64.2,Employment-population ratios for men
1995,70.8,68.1,66.1,57.6,63.1,57.3,75,74.6,NA,66.7,69.4,NA,53.6,62,NA,64.7,Employment-population ratios for men
1996,70.9,67.9,65.8,57.5,62.1,57.1,74.9,74.4,NA,67.5,69.8,NA,54,61.5,NA,64.8,Employment-population ratios for men
1997,71.3,67.6,66.4,56.9,61.3,56.9,74.9,73.9,NA,68.5,69.2,NA,55,61,NA,65.9,Employment-population ratios for men
1998,71.6,67.9,66.8,56.7,61.9,56.9,73.9,69.2,NA,69.8,67.8,NA,56.7,62.1,NA,66.2,Employment-population ratios for men
1999,71.6,68.2,67.5,57,60.7,57.1,73,69.1,NA,70.4,68.1,NA,58.7,62.5,NA,66.6,Employment-population ratios for men
2000,71.9,68.4,68.2,58,60.6,57.4,72.5,70.7,NA,71.4,69,NA,60.2,64.2,NA,66.9,Employment-population ratios for men
2001,70.9,67.6,67.7,58,60.2,57.7,71.5,71,NA,72,69.8,NA,61.1,64.4,NA,66.9,Employment-population ratios for men
2002,69.7,67.8,67.9,57.8,58.9,58.1,70.4,72.2,NA,71.9,70.7,NA,61.2,64.3,NA,66.7,Employment-population ratios for men
2003,68.9,68.1,68.3,57.1,57.5,57.6,69.9,71.9,NA,70.6,70.5,NA,61.8,63.7,NA,66.9,Employment-population ratios for men
2004,69.2,68.8,68.5,56.5,57.3,56.9,69.6,72,NA,70,71.8,NA,62.3,63,NA,66.9,Employment-population ratios for men
2005,69.6,69.4,68.6,56.2,57.7,56.8,69.7,71.6,75.1,69.2,72.4,NA,63.7,63.8,NA,66.8,Employment-population ratios for men
2006,70.1,69.8,68.4,56.1,58.6,57.3,69.9,71.3,75.6,70,72.9,NA,64.5,64.5,62.7,66.7,Employment-population ratios for men
2007,69.8,70.4,68.7,56.3,59.7,57.3,70.1,71.3,75.1,70.9,73,NA,64.6,65.4,62.5,66.7,Employment-population ratios for men
2008,68.5,70.7,68.8,56.7,60.5,56.9,69.7,70.9,74.5,71.2,72.1,52.7,62.2,65.5,62.4,66.4,Employment-population ratios for men
2009,64.5,69.1,65.9,55.6,59.9,55.3,68.1,70.1,72.4,70.2,70.1,49.7,56.2,63,60.4,64.2,Employment-population ratios for men
2010,63.7,69.5,66.2,55.4,60.2,54.4,67.7,70.1,72.3,67.9,69.8,47.7,54.3,63.3,62.3,63.8,Employment-population ratios for men
2011,63.9,69.5,66.6,55.3,61.5,54.2,67.6,70.5,72.4,67.1,69.9,47.4,52.9,63.9,64.8,63.6,Employment-population ratios for men
2012,64.4,68.9,66.6,55.1,61.7,53.2,67.3,70.8,72.8,67.1,69.2,47.5,50.1,63.5,64.6,64,Employment-population ratios for men
1970,40.8,39.3,36.1,37.3,38.1,25,48.1,38.2,NA,NA,NA,NA,NA,49.1,NA,NA,employment-population ratios for women
1971,40.4,39.7,36.8,37.6,38.2,24.9,47.2,38.3,NA,NA,NA,NA,NA,49.5,NA,42.3,employment-population ratios for women
1972,41,39.6,37.4,37.9,38.6,24.1,46.2,38.7,NA,NA,NA,NA,NA,50,NA,42.6,employment-population ratios for women
1973,42,40.9,39.1,38.4,39.1,24.5,46.7,40.6,NA,27.3,NA,NA,NA,50.3,NA,43.6,employment-population ratios for women
1974,42.6,41.7,40.2,38.6,38.7,25.1,45.1,40.4,NA,27.1,NA,NA,NA,52,NA,44.2,employment-population ratios for women
1975,42,41.4,40.7,38.4,37.9,25.3,44,39.4,NA,27.1,NA,NA,NA,54.1,NA,44.2,employment-population ratios for women
1976,43.2,41.5,42.6,38.9,37.8,25.8,44.1,42.3,NA,27.3,NA,NA,NA,54.7,NA,44,employment-population ratios for women
1977,44.5,41.5,42.9,39.3,37.7,26.9,44.9,40.7,NA,28.2,NA,NA,26.2,55.5,NA,44,employment-population ratios for women
1978,46.4,41,44,39.6,37.9,26.8,45.5,42.3,NA,28.4,NA,NA,25.4,56.1,NA,44.4,employment-population ratios for women
1979,47.5,40.7,45.7,39.7,38.4,27.3,45.6,42.3,NA,29.2,NA,NA,24.9,57.2,NA,45,employment-population ratios for women
1980,47.7,41.9,46.9,39.6,38.8,27.9,45.6,41.3,NA,31,NA,NA,23.8,58,NA,45.1,employment-population ratios for women
1981,48,42.1,48.2,39.5,38.7,28,45.6,41.2,NA,31.9,NA,NA,22.7,58.5,NA,44.3,employment-population ratios for women
1982,47.7,41.5,47,41.6,38.1,27.6,45.9,42.3,NA,32.8,NA,NA,22.4,58.4,NA,43.5,employment-population ratios for women
1983,48,40.8,47.3,41.5,37.3,27.6,46.7,41.9,NA,31.9,NA,NA,22.4,58.6,NA,43.3,employment-population ratios for women
1984,49.5,41.8,48.2,41.4,37.3,27.6,46.4,39.8,NA,32.7,NA,NA,21.7,59.1,NA,44.4,employment-population ratios for women
1985,50.4,43,49.5,41.3,37.6,27.8,46.3,40.9,NA,33.4,NA,NA,21.3,59.7,NA,45.2,employment-population ratios for women
1986,51.4,45,50.7,41.7,38.1,28.1,46.2,42.2,NA,34.7,52,NA,21.5,60.1,NA,45.8,employment-population ratios for women
1987,52.5,45.6,51.6,41.5,38.5,28.2,46.2,44.1,NA,35.4,52.5,NA,23,60.5,NA,46.9,employment-population ratios for women
1988,53.4,46.8,53,41.4,39,28.3,46.6,44.2,NA,37,51.1,NA,24,61.2,NA,48.4,employment-population ratios for women
1989,54.3,48.7,53.9,41.8,39.7,28.6,47.4,45.7,NA,37.7,49.2,NA,24.8,61.7,NA,49.9,employment-population ratios for women
1990,54.3,49.4,54.1,42,40.5,29.2,48,46.2,NA,39.4,50,NA,25.7,61.8,NA,50.3,employment-population ratios for women
